Domanda,Risposta A,Risposta B,Risposta C,Argomento,Sottoargomento,Corretta
"In Lombardia un comune sorge isolato in territorio  svizzero, si tratta di:",a) Campione d'Italia,b) Castiglione Olona,c) Lavena-Ponte Tresa,1,1,a
Mantova è bagnata dal fiume:,a) Mincio,b) Serio,c) Bozzente,1,1,a
In quale di queste tre province si trova Bellagio:,a) Varese,b) Sondrio,c) Como,1,1,c
La cittadina di Bosisio Parini si affaccia su un  piccolo lago:,a) il lago di Idro,b) il lago di Lecco,c) il lago di Pusiano,1,1,c
Calolziocorte si trova in provincia di:,a) Bergamo,b) Lodi,c) Lecco,1,1,c
La Lomellina è una zona della provincia di:,a) Pavia,b) Milano,c) Lecco,1,1,a
Quale città della Lombardia è bagnata dal fiume  Ticino:,a) Varese,b) Mantova,c) Pavia,1,1,c
"Una di queste province non si affaccia sul lago  d'Iseo, quale ?",a) Brescia,b) Cremona,c) Bergamo,1,1,b
Il capoluogo di provincia più meridionale della  Lombardia è:,a) Como,b) Cremona,c) Pavia,1,1,b
Il fiume Brembo è affluente del fiume,a) Po,b) Mincio,c) Adda,1,1,c
Il fiume Oglio attraversa,a) Ponte di Legno,b) Ponte Chiasso,c) Seriate,1,1,a
Il fiume Mincio è emissario del,a) lago di Como,b) lago di Garda,c) lago Maggiore,1,1,b
Qual è il Passo più alto della Lombardia:,a) Passo Gavia,b) Passo di Croce Domini,c) Passo dello Stelvio,1,1,c
La provincia di Mantova confina con:,a) il Trentino Alto Adige,b) l'Emilia Romagna,c) il Piemonte,1,1,b
Il Lario è il nome di quale lago:,a) il lago di Como,b) il lago d'Iseo,c) il lago Maggiore,1,1,a
Non è una frazione del Comune di Vigevano,a) Sforzesca,b) Piccolini,c) Viscontea,1,2,c
Il Passo del Tonale si trova nella provincia di:,a) Varese,b) Lecco,c) Brescia,1,1,c
La città principale dell'Oltrepò Pavese è:,a) Suzzara,b) Chiavenna,c) Voghera,1,1,c
Tra il lago di Como e quello di Lugano si estende:,a) la Val d'Intelvi,b) la Valsassina,c) la Val di Scalve,1,1,a
In quali di questi Comuni è ubicato il Castello di  San Gaudenzio?,a) Silvano Pietra,b) Cervesina,c) Belgioioso,1,1,b
Castellanza è situata tra :,a) Legnano e Busto Arsizio,b) Gallarate e Busto Arsizio,c) Desio e Seregno,1,1,a
In quale provincia si trova il Passo del Brallo?,a) Lecco,b) Sondrio,c) Pavia,1,1,c
Quale dei seguenti fiumi interessa la provincia di  Varese?,a) Ticino,b) Brembo,c) Agogna,1,1,a
Il capoluogo di provincia più settentrionale è:,a) Sondrio,b) Lecco,c) Pavia,1,1,a
La Grigna è:,a) una montagna delle  Prealpi,b) una località della Val  Brembana,c) una collina dell'Oltrepò,1,1,a
A quale di queste province appartiene la Val di  Scalve?,a) Como,b) Bergamo,c) Pavia,1,1,b
Monteisola è:,a) una località turistica  vicina a Livigno,b) un'isola del lago d'Iseo,c) una collina nei pressi del  lago d'Endine,1,1,b
Quale di queste località si affaccia sul lago  Maggiore?,a) Laveno,b) Bellagio,c) Paratico,1,1,a
La provincia di Pavia confina :,a) con il Veneto,b) con l'Emilia Romagna,c) con la Svizzera,1,1,b
Il Po attraversa la provincia di:,a) Pavia,b) Bergamo,c) Varese,1,1,a
Il Lario è:,a) un fiume,b) un lago,c) un monte,1,1,b
Quale di questi passi si trova in Lombardia:,a) Falzarego,b) Sempione,c) Gavia,1,1,c
Quale di queste regioni non si affaccia sul lago di  Garda?,a) il Trentino-Alto Adige,b) il Friuli Venezia-Giulia,c) il Veneto,1,1,b
In quale di queste tre province si trova  Sabbioneta?,a) Lodi,b) Cremona,c) Mantova,1,1,c
Quale fiume forma il lago d'Iseo?,a) l'Oglio,b) il Brembo,c) il Serio,1,1,a
La Valceresio interessa il territorio della provincia  di:,a) Como,b) Varese,c) Sondrio,1,1,b
Come è denominata la zona dell'entroterra del  lago di Garda verso Mantova?,a) Colli Euganei,b) Colli Morenici o Colli  Storici,c) Col di Lana,1,1,b
Quale di questi fiumi sfocia direttamente nel Po?,a) Brembo,b) Olona,c) Serio,1,1,b
Garegnano è:,a) una Certosa di Milano,b) una famosa località  turistica sul lago di Garda,c) un fiume della Val  Trebbia,1,2,a
Sirmione è una località turistica del:,a) lago di Garda,b) lago d'Iseo,c) lago di Ledro,1,2,a
La Certosa di Chiaravalle si trova nel comune di:,a) Milano,b) Assago,c) Rozzano,1,2,a
Piazza della Loggia in quale città della Lombardia  si trova:,a) Brescia,b) Varese,c) Como,1,2,a
Quale di questi tre importanti monumenti si trova  in Milano:,a) la Cappella Colleoni,b) il Cenacolo di Leonardo  daVinci,c) il Palazzo Te,1,2,b
Quale di queste località non è servita dalle F.S.?,a) Varese,b) Laveno Mombello,c) Saronno,1,2,c
Quale di queste città è stata riconosciuta  capoluogo di provincia nel 1993:,a) Crema,b) Lodi,c) Monza,1,2,b
"Quale di queste tre città è famosa per il  ""Torrazzo""?",a) Cremona,b) Mantova,c) Bergamo,1,2,a
Quale di questi tre importanti monumenti si trova a  Bergamo?,a) il Cenacolo di Leonardo  da Vinci,b) la Cappella Colleoni,c) il Palazzo Te,1,2,b
"Cos'è il ""Vittoriale degli Italiani""?",a) il complesso degli edifici  e giardini dimora di Gabriele  d'Annunzio a Gardone  Riviera,b) la casa di riposo voluta da  Giuseppe Verdi a Milano,c) la torre eretta a S.  Martino della Battaglia a  ricordo della vittoria  piemontese nella seconda  guerra d'indipendenza,1,2,a
Qual è la produzione caratteristica dell'industria  della Valtrompia?,a) strumenti musicali,b) armi,c) manufatti di sughero,1,2,b
Quale dei seguenti Comuni è zona extradoganale  (zona franca)?,a) Aprica,b) Livigno,c) Erba,1,2,b
Quale strada bisogna percorrere per andare da  Pavia a Sannazzaro dè Burgondi?,a) SS. Padana Inferiore,b) SS.596 e poi imboccare la  SP.193 bis,c) SS. dei Cairoli,1,2,b
Quale di questi laghi non ha un servizio pubblico di  navigazione di linea:,a) il lago di Lugano,b) il lago di Varese,c) il lago d'Iseo,1,2,b
Quante sono le province della Lombardia?,a) 9,b) 11,c) 12,1,2,b
Legnano si trova:,"a) sulla SS ""Sempione"" n.  33","b) sulla SS ""Paullese"" n. 415","c) sulla SS n. 10 ""Padana  inferiore""",1,3,a
L'autostrada A4 Torino-Trieste attraversa tre  province lombarde nell'ordine:,"a) Milano, Lodi, Brescia","b) Milano, Bergamo, Brescia","c) Milano, Bergamo,  Mantova",1,3,b
La SS 470 attraversa :,a) la val di Scalve,b) la val Seriana,c) la val Brembana,1,3,c
Quale strada statale collega Pavia a Lodi,"a) la SS n. 234  ""Codognese""","b) la SS n. 235 ""di Orzinuovi""","c) la SS n. 35 ""dei Giovi""",1,3,b
La A 22 del Brennero attraversa unicamente una  provincia lombarda:,a) la provincia di Mantova,b) la provincia di Brescia,c) la provincia di Cremona,1,3,a
La A 21 da Cremona  raggiunge un altro  capoluogo di provincia lombarda:,a) Bergamo,b) Mantova,c) Brescia,1,3,c
La SS n. 38 attraversa un capoluogo di provincia  della Lombardia:,a) Varese,b) Bergamo,c) Sondrio,1,3,c
La SS N. 583 quale lago costeggia:,a) il lago Maggiore,b) il lago d'Iseo,c) il lago di Como,1,3,c
La SS N. 10 è denominata:,a) Padana inferiore,b) Padana superiore,c) della Lomellina,1,3,a
"La SS N. 36 ""del lago di Como e dello Spluga""  attraversa :",a) Lecco,b) Lumezzane,c) Livigno,1,3,a
"La SS N. 402 ""Valeriana"" interessa principalmente  la provincia di :",a) Mantova,b) Bergamo,c) Sondrio,1,3,c
"Quale di queste province non è attraversata dalla  A21 ""Brescia-Piacenza-Alessandria ?",a) Cremona,b) Lodi,c) Pavia,1,3,b
Quale di queste località non è servita dalle F.S.,a) Varese,b) Erba,c) Laveno  Mombello,1,3,b
Qual è la distanza tra Milano e Mantova:,a) meno di 100 Km,b) più di140 Km,C) più di 180 Km,1,3,b
Quanto è lunga la tangenziale ovest di Milano:,a) più di 50 km,b) meno di 30 km,c) da 30 a 35 km,1,3,c
Da Milano all'aeroporto intercontinentale della  Malpensa la distanza è:,a) Km. 17 circa,b) km. 50 circa,c) Km. 83 circa,1,3,b
Dove inizia la strada del Sempione?,a) all'arco della Pace a  Milano,b) all'uscita di Novara  dell'autostrada Milano-Torino,c) dopo l'abitato di Lecco in  direzione della Valtellina,1,3,a
Quale strada statale attraversa l'abitato di  Montichiari:,a) la S.S. N. 236 Goitese,b) la S.S. N.415 Paullese,c) la S.S. N. 45 bis  Gardesana occidentale,1,3,a
"Quale di queste strade statali è denominata ""Lago  di Como e dello Spluga""?",a) S.S. N. 412,b) S.S. N. 36,c) S.S. N. 33,1,3,b
A quale progressiva chilometrica la tangenziale  ovest di Milano incrocia la A7 Milano-Genova:,"a) al Km. 2,5",b) al Km. 20,"c) al Km. 31,5",1,3,b
Qual è la denominazione/destinazione della  autostrada A8:,a) Milano-Genova,b)  Milano Varese  (autostrada dei Laghi),c) Lainate Como Chiasso  (autostrada dei Laghi),1,3,b
L'aeroporto di Malpensa si trova:,a) a ovest di Milano,b) a nord di Varese,c) a est di Bergamo,1,3,a
Quante sono le linee metropolitane in esercizio a  Milano?,a) 3,b) 5,c) 4,1,3,a
Quanto è lunga la Tangenziale ovest di Milano?,a) da 30 a 40 km,b) meno di 15 km,c) più di 50 km,1,3,a
Il territorio della Lombardia è attraversato  dall'autostrada del Sole nella provincia di:,a) Lodi,b) Como,c) Mantova,1,3,a
Una di queste località termali non è in Lombardia,a)  Boario Terme,b)  Bognanco Terme,c)  Salice Terme,1,1,b
Il Passo dello Spluga collega,a)  la regione Svizzera dei  Grigioni con la Valchiavenna,b)  la Valtellina con il  Trentino-Alto Adige,c)  la provincia di Brescia  con il Trentino-Alto Adige,1,1,a
Il lago di Annone si trova,a)  in Brianza,b)  nell'Oltrepò Pavese,c)  nell'alto mantovano,1,1,a
Uno di questi fiumi non è un confine naturale della  Lombardia,a)  il Ticino,b)  il Po,c)  l'Adda,1,1,c
Non è un fiume di Milano,a)  Olona,b)  Lambro,c)  Naviglio di Pavia,1,1,c
La Regione Lombardia è,a)  una Regione autonoma  a statuto speciale,b)  una Regione a statuto  ordinario,c)  una confederazione di  Province,1,2,b
Non è un monumento di Vigevano,a)  Broletto,b)  Piazza Ducale,c) Castello Sforzesco,1,2,a
"Dove si trova il ""Parco Nazionale delle incisioni  rupestri"" ove è presente quale elemento ricorrente  la ""rosa camuna"" adottata come simbolo dalla  Regione Lombardia",a)  a Ponte di Legno,b)  nel Parco dell'Oglio nord  nei pressi di Ponte Oglio,c)  a Capo di Ponte in  Valcamonica,1,2,c
"In quale località si trova il parco di costruzioni in  miniatura denominato ""Minitalia""",a)  sulla tangenziale ovest di  Milano all'altezza di Assago,b)  all'uscita del casello  autostradale di Fino  Mornasco sulla autostrada   A9,c)  nei pressi di Capriate  San Gervasio sulla A4,1,2,c
Dove si trova un celebre Castello di San Giorgio e  un Palazzo Ducale già residenza dei Gonzaga,a)  Cremona,b)  Mantova,c)  Pavia,1,2,b
Non fa parte del territorio di Varese e dintorni,a)  il Sacro Monte,b)  il Pian dei Resinelli,c) il Campo dei Fiori,1,2,b
Una di queste strade statali non interessa il  territorio di Busto Arsizio,"a)  SS n. 33 ""del Sempione""","b)  SS n. 527 ""Bustese""","c)  SS n. 233 ""Varesina""",1,3,c
Interessa il territorio del comune di Mantova,a)  l'autostrada  A22 del  Brennero,b)  il fiume Po,c)  la linea ferroviaria  Brescia-Cremona,1,3,a
La distanza chilometrica tra Pavia e Varzi è,a)  Km. 76,b)  Km. 65,c)  Km. 83,1,3,b
Quale linea ferroviaria passa da Treviglio,a)  Milano-Brescia-Venezia,b)  Milano-Monza-Bergamo,c)  Milano-Lodi-Piacenza- Bologna,1,3,a
Quale autostrada transita dal territorio del comune  di Legnano,a)  A8 Milano-Varese-Sesto  Calende,b)  A9 Milano-Como-Chiasso,c)  A4 Milano-Torino,1,3,a
Non interessa il territorio di Sondrio,"a)  la SS n. 33 ""del  Sempione""",b)  la linea ferroviaria  Lecco- Colico-Tirano,c)  il fiume Adda,1,3,a
Quale fiume attraversa la SS. 617?,a) fiume Adda,b) fiume Lambro,c) fiume Po,1,1,c
La più popolosa città della provincia di Milano  escluso il capoluogo:,a) Sesto San Giovanni,b) Monza,c) Cinisello Balsamo,1,1,b
"Il fiume Mincio forma in prossimità di un capoluogo  di provincia della Lombardia, tre laghi, detti ""di  mezzo"", ""inferiore"" e ""superiore"". Qual è questa  città?",a) Cremona,b) Pavia,c) Mantova,1,1,c
L'aeroporto bergamasco di Orio al Serio rispetto al  capoluogo di provincia dov'è situato?,a) nord,b) sud,c) è all'interno della stessa  città di Bergamo,1,1,b
Le sorgenti del fiume Adda in quale provincia della  Lombardia si trovano:,a) Sondrio,b) Lecco,c) Varese,1,1,a
"Sotto il Monte, città natale di Papa Giovanni XXIII  si trova in provincia di:",a) Brescia,b) Bergamo,c) Lecco,1,1,b
"Il lago di Garda appartiene territorialmente, oltre  che alla Lombardia e al Veneto, ad un'altra  regione italiana:",a) il Friuli Venezia Giulia,b) l'Emilia Romagna,c) il Trentino Alto Adige,1,1,c
Quale capoluogo di provincia lombardo è il più  vicino al confine di Stato:,a) Como,b) Varese,c) Sondrio,1,1,a
"Salò, nota a tutti per vicende legate alla II° guerra  mondiale, su quale lago lombardo si affaccia:",a) lago di Garda,b) lago di Como,c) lago d'Iseo,1,2,a
Tra i più importanti monumenti della Lombardia vi  è:,a) la Certosa di Como,b) la Certosa di Brescia,c) la Certosa di Pavia,1,2,c
Bellagio è una località turistica:,a) del lago di Como,b) della bassa Brianza,c) della Val Sabbia,1,2,a
E' sede di un'antica Università e di un celebre  castello Visconteo:,a) Vigevano,b) Mantova,c) Pavia,1,2,c
Una di queste università non ha sede a Milano:,a) Ca' Foscari,b) l'Università del Sacro  Cuore,c) l'Università degli Studi,1,2,a
Quale di queste città ha un porto fluviale:,a) Como,b) Cremona,c) Varese,1,2,b
"Cittadina in provincia di Brescia, nota oltre che per  la più grande villa romana dell'Italia settentrionale  anche per le grotte di Catullo:",a) Sirmione,b) Desenzano del Garda,c) Gardone Riviera,1,2,a
"E' nota, oltre che per la sua stupenda piazza su cui  si affacciano il Duomo ed un castello antico, anche  quale importante centro calzaturiero della  Lombardia:",a) Varese,b) Lodi,c) Vigevano,1,2,c
"Il patrocinio dei Gonzaga, l'opera, tra gli altri del  Mantegna e di Giulio Romano, hanno reso questo  capoluogo di provincia uno stupendo centro  turistico/culturale:",a) Pavia,b) Mantova,c) Lecco,1,2,b
Quale zona della Lombardia è nota per essere  fiorente produttrice di mobili ?,a) la Brianza,b) la Lomellina,c) la Val Trompia,1,2,a
"Quale linea della metropolitana milanese collega  tra loro le stazioni FS di Garibaldi, Centrale,  Lambrate e la stazione F.N.M. di Cadorna ?",a) la linea rossa,b) la linea verde,c) la linea gialla,1,3,b
"E' stazione della metropolitana milanese, di  corrispondenza con le autolinee extraurbane della  zona dell'Adda:",a) Molino Dorino,b) San Donato Milanese,c) Gessate,1,3,c
A quale progressiva chilometrica la tangenziale  ovest di Milano incrocia il raccordo con la A1  Milano - Bologna e la tangenziale Est:,"a) al Km. 31,5","b) al Km. 18,5","c) al Km. 25,5",1,3,a
Quale di queste è una circonvallazione di Milano ?,a) raccordo anulare dei  parchi,b) circolo interstazionale,c) cerchia dei navigli,1,3,c
"La SS N. 237 ""del Caffaro"", quale provincia  attraversa?",a) Brescia,b) Mantova,c) Varese,1,3,a
"La SS N. 342 ""Briantea"" attraversa l'abitato di:",a) Chiavenna,b) Pontida,c) Castiglione delle Stiviere,1,3,b
"La SS N. 596 dir. ""dei Cairoli"" interessa la  provincia di:",a) Varese,b) Sondrio,c) Pavia,1,3,c
"La SS N. 527 ""Bustese"" collega Monza con  un'importante cittadina della provincia di Varese:",a) Malnate,b) Busto Arsizio,c) Gallarate,1,3,b
"La SS N. 234 ""Codognese"" attraversa tre province  lombarde:","a) Bergamo, Brescia e  Mantova","b) Lodi, Milano e Varese","c) Pavia, Lodi e Cremona",1,3,c
"Como è attraversata, tra le altre, dalla seguente  statale:","a) la SS N. 33 ""del  Sempione""","b) la SS N. 36 ""del lago di  Como e dello Spluga""","c) la SS N. 35 ""dei Giovi""",1,3,c
La cittadina di Codogno è raggiunta dalla seguente  statale:,"a) la SS N. 591 ""Cremasca""","b) la SS N. 36 ""del lago di  Como e dello Spluga""","c) la SS N. 472 ""Bergamina""",1,3,a
E' un comune della provincia di Lodi:,a) Paullo,b) Codogno,c) Locate Triulzi,1,1,b
E' un comune della provincia di Lecco:,a) Valmadrera,b) Dorno,c) Dongo,1,1,a
Uno di questi laghi non è in Lombardia :,a) Alserio,b) Annone,c) Viverone,1,1,c
La statua della Minerva si trova nel Comune di,a) Pavia,b) Garlasco,c) Voghera,1,1,a
Pavia dista da Voghera,a) Km. 45,b) Km. 31,c) Km. 25,1,1,b
Pavia dista da Stradella,a) Km. 30,b) Km. 35,c) Km. 20,1,1,c
Pavia dista da Vigevano,a) Km. 37,b) Km. 50,c) Km. 25,1,1,a
Quale di queste strade statali collega Pavia a  Casteggio?,a) SS.461,b) SS.35,c) SS.211,1,1,b
"Vi sono nella nostra regione due province che non  hanno confini esterni, sono attorniate, infatti,  da  altre province lombarde. Quali sono?",a) Bergamo e Lecco,b) Varese e Milano,c) Como e Mantova,1,1,a
La stazione ferroviaria di Milano-Rogoredo è  servita da una linea della metropolitana milanese.  Qual è?,a) la linea due (verde),b) la linea  uno (rossa),c) la linea tre (gialla),1,3,c
"L'aeroporto milanese di Linate è da considerarsi  rispetto al centro della città, a...",a) nord,b) est,c) ovest,1,3,b
"Dove si trova VILLA OLMO, sede di un importante  centro di congressi ?",a) sul lago di Garda,b) sul lago di Como,c) sul lago di Pusiano,1,1,b
Il passo del Tonale collega :,a) la provincia di Cremona  con l'Emilia-Romagna,b) la provincia di Brescia con  il Trentino Alto Adige,c) la Svizzera con la  provincia di Sondrio,1,1,b
"Castiglione Olona, denominata ""isola di Toscana  in Lombardia"", si trova:",a) in provincia di Milano,b) in provincia di Pavia,c) in provincia di Varese,1,1,c
"Non è considerata una ""stazione sciistica"":",a) Madesimo,b) Varzi,c) Monte Penice,1,1,b
E' il lago lombardo più profondo,a) lago di Garda,b) lago di Como,c) lago d'Idro,1,1,b
La città di Vigevano non è direttamente collegata  su rotaia con il Comune di,a) Milano,b) Pavia,c) Mortara,1,1,b
Interessa il territorio di due province della  Lombardia,a) il lago di Lugano,b) il lago di Garda,c) il lago d'Idro,1,1,a
Quale corso d'acqua attraversa la città di Sondrio  ?,a) Il Mallero,b) Il Ticino,c) L'Oglio,1,1,a
Quale di questi comuni NON è in provincia di  Pavia ?,a) Stradella,b) Tortona,c) Mortara,1,1,b
"La val Veddasca, la val Tresa, la Valcuvia e  Valganna si trovano :",a) In provincia di Sondrio,b) In provincia di Brescia,c) In provincia di Varese,1,1,c
E' la patria di Donizzetti e di Colleoni. Si trova allo  sbocco della val Seriana e della val Brembana. Di  quale città si tratta ?,a) Brescia,b) Cremona,c) Bergamo,1,2,c
"Il ""cenacolo"" di Leonardo da Vinci, capolavoro  rinascimentale, si trova a Milano. In quale di questi  luoghi ?",a) Nella pinacoteca di Brera,b) Nella chiesa di Santa  Maria delle Grazie,c) Nel castello sforzesco,1,2,b
"Fu istituito nel 1935, è in massima parte nel  territorio di un'altra regione, si trova nelle alpi  centrali nell'alta Valtellina. Di quale parco  nazionale si tratta?",a) Il parco nazionale del  Delta Padano,b) Il parco nazionale del  Gran Paradiso,c) il parco Nazionale dello  Stelvio,1,2,c
"E' collegata al capoluogo di regione, oltre che dalle  ferrovie dello stato, anche dalle ferrovie Nord  Milano. Trattasi di :",a) Lecco,b) Como,c) Lodi,1,3,b
La strada statale n° 412 della val Tidone interessa  la provincia di :,a) Pavia,b) Varese,c) Sondrio,1,3,a
San Pellegrino terme è attraversata da una  statale. Trattasi della ....,"a) Strada statale n° 472  ""Bergamina""","b) Strada statale n° 470  ""della val Brembana""","c) Strada statale n° 342  ""Briantea""",1,3,b
Collega Magenta ad Abbiategrasso e si innesta  nella strada statale n° 35 a Pavia. Stiamo parlando  della ...,"a) Strada statale n° 526  ""dell'est Ticino""","b) Strada statale n° 494  ""Vigevanese""","c) Strada statale n° 236  ""Goitese""",1,3,a
"Ai sensi dell'art. 2 della Legge 15 gennaio 1992 n.  21, il servizio taxi è rivolto ad una utenza di tipo:",a) collettiva differenziata,b) indifferenziata individuale  o di piccoli gruppi di persone,c) individuale differenziata,2,1,b
"Ai sensi dell'art. 3 della Legge 15 gennaio 1992 n.  21, lo stazionamento dei mezzi, nel servizio di  noleggio con conducente, avviene:",a) in appositi parcheggi  individuati dai comuni,b) sulla pubblica piazza,c) all'interno delle rimesse o  presso i pontili di attracco,2,1,c
La competenza in materia di trasporto mediante  autoservizi pubblici non di linea è affidata ai sensi  dell'art. 4 della Legge 15 gennaio 1992 n. 21:,a) alla Questura  territorialmente competente,b) alle Regioni e agli enti  locali delegati,c) all'Ufficio Territoriale del  Dipartimento Trasporti  Terrestri,2,1,b
Ai sensi dell'art. 6 della Legge 15 gennaio 1992 n.  21 il ruolo dei conducenti di veicoli o natanti adibiti  ad autoservizi pubblici non di linea è istituito  presso:,a) le Province,"b) le Camere di Commercio,  Industria, Artigianato e  Agricoltura",c) le Regioni,2,1,b
"Ai sensi dell'art. 12 della Legge 15 gennaio 1992  n. 21, in quale modo l'utente è portato a  conoscenza dell'esistenza di eventuali supplementi  tariffari per il servizio taxi?",a) mediante comunicazione  verbale da parte del tassista  alla fine della corsa,b) mediante avvisi posti in  luoghi pubblici,c) mediante avviso  chiaramente leggibile posto  sul cruscotto  dell'autovettura,2,1,c
"Ai sensi dell'art. 13 della Legge 15 gennaio 1992  n. 21, nel servizio taxi, la tariffa per il servizio  urbano calcolata con tassametro è:",a) a base multipla,b) a progressione  chilometrica,c) a tempo di percorrenza,2,1,a
"I titolari di licenza di taxi possono essere sostituiti  temporaneamente per l'esercizio del servizio, da  persone iscritte al ruolo di cui all'art. 6 della Legge  15 gennaio 1992 n. 21:",a) per un periodo di ferie  non superiore a giorni trenta  annui,b) per incarichi in società di  capitale,c) per il periodo necessario  ad acquisire un diploma di  laurea,2,1,a
"In base alla Legge 15 gennaio 1992 n. 21, a  partire dal 1 gennaio 1992 i veicoli di nuova  immatricolazione adibiti ai servizi di noleggio con  conducente o al servizio taxi devono essere  muniti:",a) di estintore  nell'eventualità di un  incendio a bordo,b) di telefono cellulare a  servizio dell'utenza,c) di marmitta catalitica o di  altri dispositivi atti a ridurre i  carichi inquinanti,2,1,c
Il rilascio della licenza per l'esercizio del servizio  taxi e dell'autorizzazione per l'esercizio del servizio  noleggio con conducente è subordinata:,a) all'iscrizione al ruolo dei  conducenti di cui all'art. 25  della Legge Regionale 4  aprile 2012 n. 6,b) al possesso  dell'abilitazione alla guida di  autobus di noleggio con  conducente,c) al possesso del titolo per  espletare l'attività di  responsabile di agenzia  turistica,2,1,a
"Ai sensi della Legge 15 gennaio 1992 n. 21, è  titolo preferenziale agli effetti del rilascio delle  licenze e delle autorizzazioni l'avere esercitato il  servizio taxi in qualità di sostituto alla guida del  titolare della licenza:",a) per un periodo di tre mesi  consecutivi,b) per un periodo di tempo  complessivo di almeno sei  mesi,c) per il periodo di tempo  necessario a soddisfare  l'obbligo del servizio militare,2,1,b
"Chi detta norme ai sensi dell'art. 14 della Legge 15  gennaio 1992 n. 21, per stabilire il numero e il tipo  di veicoli già esistenti da attrezzare anche al  trasporto di soggetti portatori di handicap di  particolare gravità?",a) le ASL competenti  territorialmente,b) i Comuni nell'ambito dei  regolamenti,c) il Settore Assistenza della  Regione Lombardia,2,1,b
Ai sensi dell'art. 14 della Legge 15 gennaio 1992  n. 21 è consentito che le autovetture di noleggio  con conducente siano utilizzate anche per  l'esercizio taxi?,a) nei servizi aeroportuali,b) nei Comuni di minor  dimensione,c) nelle zone di intensa  conurbazione di cui all'art. 8  della Legge Regionale 15  aprile 1995 n. 20,2,1,b
Costituiscono autoservizi pubblici non di linea ai  sensi della Legge 15 gennaio 1992 n.21:,"a) il servizio di taxi con  autovettura,  motocarrozzetta, natante e  veicoli con trazione animale",b) tutti i servizi non di linea  posti in essere dai privati,c) tutti i servizi non di linea  finanziati da enti locali,2,1,a
Con quale modalità si rilasciano Licenza taxi e  autorizzazione di noleggio con conducente?,a) atto pubblico avanti a  notaio,b) bando di concorso  pubblico comunale,c) esame presso il  Dipartimento Trasporti  Terrestri,2,1,b
